,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
7910,7910.0,ApeGang #2122,Hippie,Airpods,Chef's,Black,Mustache,Black Sunglasses
7916,7916.0,ApeGang #2116,Red Hawaiian Shirt,Diamond Stud,Laurel,Brown,Nose Ring,Albino
7926,7926.0,ApeGang #2106,Banana Shirt,Airpods,Halo,Cream,Grillz,Rainbow Sunglasses
7930,7930.0,ApeGang #2102,Winter Coat,Diamond Stud,Chef's,Strong Dark Brown,Angry,Robot Glasses
7957,7957.0,ApeGang #2075,Magician,Silver Hoop,Sushi Chef,Brown,Grillz,Sad
7968,7968.0,ApeGang #2064,Magician,Gold Hoop,Yellow NBA Headband,Brown,Nose Ring,Scar
8013,8013.0,ApeGang #2019,Orange Striped T-Shirt,Bluetooth Earpiece,Rabbit Ears,Black,Mustache,Bruised
8062,8062.0,ApeGang #1970,Pimp Coat,Gold Hoop,Red NBA Headband,Black,Grillz,Black Sunglasses
8093,8093.0,ApeGang #1939,Red Hawaiian Shirt,Bluetooth Earpiece,Military Helmet,White,Tongue Out,Crazy
8104,8104.0,ApeGang #1928,Angel Wings,Gold Hoop,Military Helmet,Tiger,Drool Rainbow,Cyclops
8138,8138.0,ApeGang #1894,White Tank Top,Bluetooth Earpiece,Joker Hair,Brown,Tongue Out,3D Glasses
8147,8147.0,ApeGang #1885,Groom,Bluetooth Earpiece,Brown Beanie,White,Nose Ring,Black Sunglasses
8152,8152.0,ApeGang #1880,Red Hawaiian Shirt,Silver Hoop,Flower Crown,Strong Dark Brown,Grin Rainbow,Rainbow Sunglasses
8161,8161.0,ApeGang #1871,Indian,Silver Hoop,Viking Helmet,Strong Dark Brown,Angry,Monocle
8167,8167.0,ApeGang #1865,Lumberjack,Bluetooth Earpiece,Yellow NBA Headband,White,Drool Rainbow,3D Glasses
8209,8209.0,ApeGang #1823,Lumberjack,Airpods,Viking Helmet,Strong Dark Brown,Angry,Crazy
8217,8217.0,ApeGang #1815,Red NBA Jersey,Airpods,Propeller,Brown,Baby Pacifier,High
8220,8220.0,ApeGang #1812,Orange Striped T-Shirt,Silver Hoop,Brown Beanie,Brown,Grillz,Devil
8259,8259.0,ApeGang #1773,Magician,Silver Hoop,Bandana,Strong Dark Brown,Joint,Black Sunglasses
8270,8270.0,ApeGang #1761,Batman,Silver Hoop,Laurel,Brown,Corn,Cyclops
8310,8310.0,ApeGang #1721,Lab Coat,Bluetooth Earpiece,Bandana,Brown,Shocked,Heart
8318,8318.0,ApeGang #1713,Pirate,Bluetooth Earpiece,Propeller,Black,Bubble Gum,Monocle
8348,8348.0,ApeGang #1683,Prison Jumpsuit,Diamond Stud,Sushi Chef,Zebra,Baby Pacifier,Laser
8359,8359.0,ApeGang #1672,Indian,Airpods,Fisherman,Brown,Yawn,Robot Glasses
8371,8371.0,ApeGang #1660,Purple Hoodie,Diamond Stud,Red NBA Headband,Cream,Joker,Round Glasses
8383,8383.0,ApeGang #1648,Banana Shirt,Diamond Stud,Chef's,Strong Dark Brown,Shocked,Heart
8396,8396.0,ApeGang #1635,Cop,Gold Hoop,Yellow NBA Headband,Grey,Mustache,3D Glasses
8429,8429.0,ApeGang #1601,Banana Shirt,Silver Hoop,Sushi Chef,Brown,Joint,Cyclops
8448,8448.0,ApeGang #1579,Toga,Gold Hoop,Sombrero,Black,Grillz,3D Glasses
8452,8452.0,ApeGang #1575,Yellow NBA Jersey,Diamond Stud,Cowboy,Brown,Smoke Pipe,High
8465,8465.0,ApeGang #1562,Winter Coat,Silver Hoop,Cowboy,Brown,Drool Rainbow,3D Glasses
8529,8529.0,ApeGang #1491,Fireman,Diamond Stud,Sushi Chef,Brown,Beard,Gold Sunglasses
8537,8537.0,ApeGang #1482,Pimp Coat,Airpods,Brown Beanie,Brown,Shocked,Round Glasses
8539,8539.0,ApeGang #1480,Magician,Bluetooth Earpiece,Green Beanie,White,Covid Mask,Sad
8543,8543.0,ApeGang #1476,Joker,Airpods,Crown,Strong Dark Brown,Grin Gold,Rainbow Sunglasses
8551,8551.0,ApeGang #1467,Nurse,Silver Hoop,Fisherman,Brown,Flames,Monocle
8569,8569.0,ApeGang #1449,Hippie,Silver Hoop,Groom,Brown,Joint,Black Sunglasses
8585,8585.0,ApeGang #1429,Sheriff,Airpods,Groom,Brown,Shocked,Black Sunglasses
8592,8592.0,ApeGang #1420,Grey Striped T-Shirt,Diamond Stud,Viking Helmet,Cream,Shocked,High
8602,8602.0,ApeGang #1408,Orange Striped T-Shirt,Gold Hoop,Flower Crown,Brown,Cigarette,Cyclops
8607,8607.0,ApeGang #1403,Prison Jumpsuit,Bluetooth Earpiece,Green Beanie,Brown,Joint,3D Glasses
8610,8610.0,ApeGang #1400,Red NBA Jersey,Diamond Stud,Party,Robot,Joker,Crazy
8617,8617.0,ApeGang #1393,Black Suit,Bluetooth Earpiece,Nurse,Grey,Snake,Laser
8638,8638.0,ApeGang #1372,Nurse,Silver Hoop,Laurel,Brown,Mustache,Albino
8653,8653.0,ApeGang #1356,Military,Gold Hoop,Chef's,Cream,Smoke Pipe,Black Sunglasses
8698,8698.0,ApeGang #1310,Hippie,Silver Hoop,Military Helmet,Brown,Tongue Out,Eye Patch
8700,8700.0,ApeGang #1308,Grey Striped T-Shirt,Airpods,Top Hat,Brown,Flames,Round Glasses
8743,8743.0,ApeGang #1265,Toga,Airpods,Pirate,Brown,Tongue Out,Squinting
8764,8764.0,ApeGang #1244,Iron Man,Gold Hoop,Red NBA Headband,Grey,Bubble Gum,Strabismus
8768,8768.0,ApeGang #1240,Red Hawaiian Shirt,Diamond Stud,Propeller,Black,Yawn,Sad
8791,8791.0,ApeGang #1217,Winter Coat,Airpods,Hotel Porter,Zebra,Snake,Blind
