ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #6255,Yellow NBA Jersey,Diamond Stud,Rabbit Ears,Brown,Covid Mask,Crazy,50.69,12.6725
ApeGang #6253,Indian,Bluetooth Earpiece,Propeller,Cream,Corn,Blind,14.99,3.7475
ApeGang #6244,Military,Silver Hoop,Military Helmet,Brown,Grin Gold,Devil,48.93,12.2325
ApeGang #6227,Orange Hawaiian Shirt ,Bluetooth Earpiece,Sushi Chef,Brown,Tongue Out,Gold Sunglasses,52.11000000000001,13.027500000000002
ApeGang #6222,Purple Hoodie,Diamond Stud,Horn,Zebra,Grin Gold,Alien,11.4,2.85
ApeGang #6183,Lab Coat,Diamond Stud,Banana,Brown,Snake,Eye Patch,50.809999999999995,12.702499999999999
ApeGang #6181,Winter Coat,Silver Hoop,Yellow NBA Headband,Cream,Joint,Sad,16.78,4.195
ApeGang #6175,Blue Hoodie,Diamond Stud,Sombrero,Cream,Covid Mask,Black Sunglasses,17.73,4.4325
ApeGang #6173,Groom,Airpods,Sombrero,Cheetah,Shocked,Monocle,11.36,2.84
ApeGang #6171,Pimp Coat,Bluetooth Earpiece,Brown Beanie,Strong Dark Brown,Corn,Round Glasses,19.570000000000004,4.892500000000001
ApeGang #6152,Orange Striped T-Shirt,Bluetooth Earpiece,Top Hat,Brown,Baby Pacifier,Eye Patch,50.839999999999996,12.709999999999999
ApeGang #6143,Winter Coat,Bluetooth Earpiece,Party,Brown,Covid Mask,Closed,50.15,12.5375
ApeGang #6132,Black Suit,Gold Hoop,Brown Beanie,Cheetah,Oh,Eye Patch,11.03,2.7575
ApeGang #6097,White Tank Top,Bluetooth Earpiece,Brain,Brown,Nose Ring,Robot,50.35999999999999,12.589999999999998
ApeGang #6088,Black Tank Top,Diamond Stud,Cap,Strong Dark Brown,Corn,Heart,19.27,4.8175
ApeGang #6084,Red NBA Jersey,Diamond Stud,Bandana,Brown,Corn,Crazy,51.01,12.7525
