,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
0,599013446,ApeGang #8223,0.06,2021-08-22T12:08:24.883604,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,598861049,ApeGang #7706,0.06,2021-08-22T11:50:59.608457,,0xdca043d1aa8061d6577b361de32f6ae552b30339,NFT_Q,0x02c2e025b219976c85b70a2e0cf110c97930e8c9
0,598797364,ApeGang #7568,0.088,2021-08-22T11:41:40.443916,,0x7c6b48a6adb4b31563856a5b7629a920abfacb36,,0x0813055b21a7bcf3421f0e3ec5e16a9d5e5e4a98
0,598593412,ApeGang #8344,0.06,2021-08-22T11:09:01.313717,,0xefee7fd9af43945e7b7d9655592600a6a63eff0d,Hackfame,0x543beba68d0d59e1836b6fe686419e5af052a00d
0,598547839,ApeGang #5265,0.065,2021-08-22T11:03:22.057464,,0xefee7fd9af43945e7b7d9655592600a6a63eff0d,TreetopsHub,0x102dd33ef3c1af8736eddcc30985feb69e099cd8
0,598523329,ApeGang #6647,0.08,2021-08-22T10:59:58.402869,,0x09ffc597dba67537c6f50629c79103b186b164aa,TreetopsHub,0x102dd33ef3c1af8736eddcc30985feb69e099cd8
0,598451756,ApeGang #5947,0.06,2021-08-22T10:51:16.285461,,0xefee7fd9af43945e7b7d9655592600a6a63eff0d,,0x18ee4c0cfed1b4d073ec6b61eec27db4fb94fa27
0,598166910,ApeGang #773,0.1,2021-08-22T10:17:31.123295,,0x5b2328c3ae704e3125c4478f2d0f575ebc3e7e95,TreetopsHub,0x102dd33ef3c1af8736eddcc30985feb69e099cd8
0,598099731,ApeGang #5463,0.1,2021-08-22T10:09:55.675274,,0x3bbcf2972299e6da5ef830af78791e3a7ed7278d,TreetopsHub,0x102dd33ef3c1af8736eddcc30985feb69e099cd8
0,598088114,ApeGang #7962,0.1,2021-08-22T10:08:35.243937,,0xa52272a01bba36a827a62d1d2b48053844a42e70,TreetopsHub,0x102dd33ef3c1af8736eddcc30985feb69e099cd8
0,598054606,ApeGang #382,0.12,2021-08-22T10:04:41.420931,,0x828d5676c11814573d004451b003218b8982bcb9,NoFlairos,0x800c016b1923653a13b6094f9c8953fdb1cf1efb
0,598046233,ApeGang #1054,0.07,2021-08-22T10:03:49.873631,,0x5635aaaa1ced439d32e5f04aa9d2e7bb33765e74,6Lord,0x4c076ed6c98aadaccd126a7bf8e42dd33a53544e
0,597957223,ApeGang #8295,0.079,2021-08-22T09:55:02.131735,,0xc6ee47eee9b172a28fdeb150a3aaa70a60772857,thyleond,0x7e1fb8c2a6b74e6d3d2ba81246b110a11945f14b
