,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
211,ApeGang #9799,Pirate,Silver Hoop,,Rainbow,Drool Rainbow,Albino
212,ApeGang #9798,,Silver Hoop,Sushi Chef,Brown,,
213,ApeGang #9797,,,Propeller,Grey,Cigarette,
214,ApeGang #9796,,,Cap,Brown,Covid Mask,Heart
215,ApeGang #9795,Indian,,,Strong Dark Brown,Yawn,Devil
216,ApeGang #9794,Groom,,,Brown,Covid Mask,Monocle
217,ApeGang #9793,,,Rabbit Ears,Brown,Snake,Sad
218,ApeGang #9792,Orange Striped T-Shirt,,,Brown,Tongue Out,Scar
219,ApeGang #9791,Joker,,Cop,Brown,Bubble Gum,Monocle
220,ApeGang #9790,Cop,,Flower Crown,Brown,Nose Ring,Black Sunglasses
221,ApeGang #9789,Yellow NBA Jersey,,Magician,Brown,Flames,Albino
222,ApeGang #9788,Red NBA Jersey,,,Strong Dark Brown,Grillz,
223,ApeGang #9787,,,Fisherman,Grey,Smoke Pipe,
224,ApeGang #9786,Magician,,Halo,Strong Dark Brown,Joker,Devil
225,ApeGang #9785,Iron Man,Silver Hoop,Cowboy,White,Corn,Hippie Glasses
226,ApeGang #9784,Space Suit,,,Brown,Covid Mask,Alien
227,ApeGang #9783,Winter Coat,,Horn,Strong Dark Brown,Nose Ring,
228,ApeGang #9782,Winter Coat,,,Brown,Oh,Crazy
229,ApeGang #9781,Prison Jumpsuit,,Groom,Brown,,Heart
230,ApeGang #9780,Joker,,Yellow NBA Headband,Tiger,Mustache,Heart
231,ApeGang #9779,Black Suit,Diamond Stud,,Grey,Angry,
232,ApeGang #9778,Fireman,,,Strong Dark Brown,Drool Rainbow,Eye Patch
233,ApeGang #9777,,,,Tiger,Mustache,Eye Patch
234,ApeGang #9776,,,,Brown,Yawn,Devil
235,ApeGang #9775,White Tank Top,,Viking Helmet,Grey,Tongue Out,Robot
236,ApeGang #9774,Batman,,Banana,Brown,,Black Sunglasses
237,ApeGang #9773,Toga,Gold Hoop,Cowboy,Strong Dark Brown,,
238,ApeGang #9772,Cop,,Brown Beanie,Brown,Nose Ring,High
239,ApeGang #9771,,Bluetooth Earpiece,,Tiger,Grillz,Black Sunglasses
240,ApeGang #9770,Pirate,,Chef's,Brown,Corn,
241,ApeGang #9769,Mexican,,Laurel,Grey,Smoke Pipe,
242,ApeGang #9768,,,Nurse,Brown,Shocked,Round Glasses
243,ApeGang #9767,Red NBA Jersey,,,Tiger,Snake,Crazy
244,ApeGang #9766,Toga,,,Brown,Beard,
245,ApeGang #9765,Angel Wings,,Red NBA Headband,Cream,Angry,
246,ApeGang #9764,Winter Coat,,Brain,Zebra,Grin Rainbow,Gold Sunglasses
247,ApeGang #9763,Banana Shirt,,,Brown,,Monocle
248,ApeGang #9762,Magician,,Party,Strong Dark Brown,Mustache,Squinting
249,ApeGang #9761,Cop,,Nurse,Rainbow,Flames,
